ID,price_doc
100001,6050042.037710006
100002,6971443.951310697
100003,17612174.84977203
100004,5671337.291361998
100005,5337375.203266865
100006,5643339.130544596
100007,10038681.937208004
100008,6506122.883437528
100009,4055577.8963223123
100010,4926912.719097996
100011,9035764.983364005
100012,8151561.87100595
100013,4305329.024221068
100014,2402806.7121694
100015,4644219.720957747
100016,5841270.909217414
100017,3081968.331982058
100018,5287623.186434998
100019,6926058.905341611
100020,1831224.3892359266
100021,7261028.253101577
100022,5154627.220742799
100023,5160912.556532533
100024,10840999.258777266
100025,16662894.879893009
100026,6725695.480736
100027,6401080.484132001
100028,6727590.772376012
100029,5918830.716187099
100030,6053070.856630799
100031,5644036.759672593
100032,8758035.014495002
100033,2574034.693864667
100034,5376971.819506662
100035,2775540.2538967994
100036,7476568.896516801
100037,9103573.127281196
100038,4406232.166076332
100039,6146910.568621998
100040,6324581.957579998
100041,7889869.006343874
100042,4988918.147204666
100043,9831559.4247048
100044,3697920.420483382
100045,2514332.8959500007
100046,4603175.15812715
100047,5973545.902506002
100048,6868068.115897197
100049,3362767.997272657
100050,5469568.794561872
100051,2603192.5467006667
100052,5543088.890120266
100053,7237794.505318801
100054,4255777.354540403
100055,5583730.929148066
100056,10085675.702212393
100057,8853291.048566336
100058,5887224.452559343
100059,2556106.191992599
100060,6081359.288271399
100061,2847766.4909401992
100062,6016634.695343949
100063,5271894.777569334
100064,6083656.716980207
100065,1950068.0764195998
100066,6096669.942404201
100067,4623891.1767648
100068,5712293.799095586
100069,9838146.17688
100070,6315875.755693999
100071,13627732.187136544
100072,6229537.764154008
100073,6705343.5017206855
100074,5769472.215809202
100075,5743187.121642801
100076,4853725.050913136
100077,3152067.939038402
100078,6658324.856697667
100079,5113473.527789804
100080,9697866.82268934
100081,5154627.220742799
100082,5227565.364642805
100083,7844922.133258329
100084,2476041.3121474655
100085,3181664.6764756637
100086,4686456.238039405
100087,5241769.934341148
100088,6030856.934251697
100089,7716185.070719198
100090,5704026.78957627
100091,6334280.358956808
100092,7777628.4369712025
100093,4947742.755553999
100094,1993112.6238600004
100095,6429774.447872347
100096,3397793.7735629994
100097,10806492.631659335
100098,8080677.318349999
100099,7973980.459038604
100100,5856772.11852942
100101,4996505.452535196
100102,5200313.706455842
100103,5532658.98561257
100104,7404393.0338640055
100105,6401755.729344714
100106,5224776.148078805
100107,5239993.414643206
100108,6491509.051403193
100109,8448927.384215495
100110,5084304.879612669
100111,6237057.042532446
100112,9251516.234616011
100113,12060482.802145332
100114,8164797.304861322
100115,6441543.827198862
100116,10074078.887361998
100117,5223115.117929466
100118,8008773.955842933
100119,6355394.046375001
100120,4110561.0039680297
100121,5827983.183566535
100122,5690585.9373778
100123,2805216.677544935
100124,5191041.370739997
100125,15700226.627774531
100126,6374911.269377999
100127,3470823.7169947354
100128,6904510.859102008
100129,6506273.869179389
100130,5664194.413599199
100131,5652454.133351867
100132,11443474.894388001
100133,2339291.9577563996
100134,28280973.25842798
100135,3749724.7878089366
100136,6109397.292889996
100137,6336810.708036003
100138,7181508.316413803
100139,5048657.096744196
100140,5872238.453698203
100141,3020370.8750959984
100142,2589178.7756905993
100143,6529564.545285805
100144,25317662.130725008
100145,15263627.237303993
100146,11758268.763948308
100147,29392982.423224814
100148,4608592.631552787
100149,10690101.72753719
100150,9922847.030712904
100151,3716040.9252203875
100152,5291832.073303005
100153,3427927.16528
100154,10320960.303460008
100155,3596824.6408469984
100156,5248753.418180864
100157,5372209.2291614665
100158,4157476.812257993
100159,6136100.880055728
100160,3420339.7087892005
100161,7187065.860426008
100162,5587055.5112652
100163,5866779.274125997
100164,10855507.209330738
100165,3286520.9501979984
100166,5852812.935600198
100167,3569106.2666680026
100168,4670531.965650399
100169,6153686.171190611
100170,5749924.845427735
100171,9374142.201523997
100172,4594098.853306992
100173,5016061.736264801
100174,7524604.579650032
100175,8031158.723503182
100176,5592039.142254068
100177,5904118.244370002
100178,5885770.638920598
100179,6292379.366612006
100180,6581914.5364699885
100181,8261247.174125953
100182,8924529.79292201
100183,7523595.840592034
100184,6144226.551172002
100185,6324581.957579998
100186,5241307.958778094
100187,5940154.977069996
100188,10302279.905783972
100189,6999449.098273601
100190,12681065.046820391
100191,5161060.606706006
100192,5512045.397503338
100193,6987469.008055998
100194,14948856.59621066
100195,10850728.901131224
100196,10925535.256870067
100197,2255347.5645529316
100198,3666501.6703479
100199,3181664.6764756637
100200,6809233.29194307
100201,6853454.8162624
100202,6876002.959118005
100203,14482913.199540013
100204,4902250.7764279945
100205,5676846.951373736
100206,5578802.080053009
100207,3436766.0062626665
100208,3918388.8382504024
100209,7002419.083569801
100210,6826788.782420454
100211,6998071.866055069
100212,5232824.278886205
100213,7578217.573455639
100214,2987286.679430799
100215,10413677.571351517
100216,8505880.589826131
100217,7771078.307800663
100218,8603964.829095995
100219,9490674.951251995
100220,6535881.4889458
100221,4686356.235767008
100222,6127594.1023898
100223,5655332.082355036
100224,6617087.031278512
100225,10876048.07431801
100226,14987434.465153214
100227,7081868.913885666
100228,7750009.619615816
100229,5527805.60043247
100230,4918836.529189995
100231,19428333.278686207
100232,6311642.172538731
100233,9223287.432899337
100234,5783859.976417194
100235,7959101.245422697
100236,4717172.556471598
100237,6579273.525100591
100238,4534784.313027997
100239,7032524.416470794
100240,7454927.162876201
100241,11459703.950652022
100242,5970614.518990499
100243,4142168.4114085967
100244,12278687.15700321
100245,7157535.511769002
100246,7991899.3484220095
100247,6903603.057180132
100248,7991276.043766183
100249,10836651.049941475
100250,6001985.370900402
100251,4463608.847713768
100252,9823481.549464602
100253,5744187.086290663
100254,4640032.166942161
100255,9262351.776127659
100256,4378882.8647324005
100257,9089343.823789326
100258,8538094.942175003
100259,6240121.725061467
100260,6964539.594079998
100261,11685615.798256
100262,6262678.099158788
100263,3017331.9572716043
100264,7142559.279823149
100265,6354279.479687403
100266,5748002.233931469
100267,6247496.827551332
100268,9327718.56709097
100269,6175857.242057003
100270,8142817.85487212
100271,8587298.009577602
100272,4761063.969752204
100273,6926920.847951002
100274,4285441.261119206
100275,6057479.362281072
100276,6416542.857696864
100277,4974961.3867339995
100278,5548251.349185204
100279,9514119.2110296
100280,10818665.320488872
100281,5795331.766338599
100282,4066187.0206272006
100283,8810033.267128674
100284,6199930.165422603
100285,8658271.667414607
100286,11017614.675244994
100287,4044530.8669380043
100288,8065446.642876078
100289,8799961.837257806
100290,6909933.926695193
100291,4354763.649861803
100292,8920470.78821927
100293,5642729.872472403
100294,5692594.3919624025
100295,6438953.87987446
100296,10814504.46129719
100297,7215639.347515808
100298,6301537.674554517
100299,5219596.903229197
100300,2004829.762125533
100301,9245273.098986
100302,6761698.445822005
100303,6649712.573528263
100304,9200832.984789338
100305,5639736.07883003
100306,6815114.2356704
100307,11905050.235427998
100308,5680525.24716814
100309,9704841.059921198
100310,9855993.41470401
100311,7259895.62722406
100312,6211531.062571198
100313,5481054.237442666
100314,8418829.90890129
100315,3470179.8044872996
100316,7842962.948488803
100317,4913574.487081894
100318,5306795.867401603
100319,6352013.357123373
100320,5494100.860819799
100321,10241576.346243404
100322,11896245.071693983
100323,9586903.506208068
100324,11114117.789929995
100325,6860426.111539497
100326,7563772.291440791
100327,6196291.005829397
100328,7749307.175562599
100329,6375346.188067352
100330,6776677.545436398
100331,1967132.8533485997
100332,5046356.6828306
100333,5531520.882050821
100334,5804827.596803998
100335,7122483.308045823
100336,6879629.725069808
100337,4257373.3774544
100338,6784809.468502012
100339,3842188.4936679997
100340,7194836.037336435
100341,6501709.121502539
100342,2104917.5872044056
100343,2936611.8579033664
100344,5656542.8267979985
100345,4761063.969752204
100346,5623871.529150532
100347,7664557.92985999
100348,3239573.6367136003
100349,5949020.4531756
100350,3755054.5917380657
100351,5817071.659956195
100352,7391001.141055264
100353,14378120.882171998
100354,7968945.184132664
100355,10435540.318460796
100356,6341956.232862002
100357,5480202.690704991
100358,7107535.117599334
100359,3265471.409990199
100360,6157028.457261996
100361,5474835.783536675
100362,6143177.215507398
100363,10005045.276300322
100364,6378751.937344963
100365,3162277.5927737993
100366,4310383.827513433
100367,4100546.0761502525
100368,10209189.8905998
100369,8834812.405169504
100370,5841270.909217414
100371,5488211.671894999
100372,6618405.93530407
100373,7653009.625377991
100374,6636015.169672404
100375,3042722.534704865
100376,8515211.574045466
100377,6169081.137259001
100378,8608228.039649002
100379,14546786.507250015
100380,6176591.086907998
100381,4972431.985634389
100382,5035104.008163012
100383,2341842.055094001
100384,13807517.99252994
100385,5314036.275145617
100386,6907975.398212345
100387,5332528.160722076
100388,4613320.777929681
100389,5035104.008163012
100390,2665299.045728799
100391,5106267.377741537
100392,5461333.35991602
100393,3342143.5824000007
100394,6574196.483693397
100395,8366654.626583193
100396,4805390.990085334
100397,5650678.92456119
100398,5580788.648064279
100399,12639115.933358
100400,5537292.728117067
100401,4647447.19808143
100402,2478411.960724609
100403,7431716.813494419
100404,5328857.780613835
100405,7060481.788336584
100406,4611915.073705739
100407,11119190.973286852
100408,5073769.470382198
100409,2314960.0609126003
100410,5927238.516839814
100411,5666222.381418997
100412,2473441.110414265
100413,4463608.847713768
100414,4601336.93904117
100415,13615662.3530968
100416,11133833.268647278
100417,7899766.773534646
100418,11119190.973286852
100419,7705352.358924397
100420,5742668.731173215
100421,6547285.89048801
100422,9679807.74247118
100423,5505720.73918607
100424,6174278.803712136
100425,9056728.069987392
100426,5619076.264286745
100427,4653349.991344878
100428,4773146.19074451
100429,6954437.320039326
100430,5133506.131763481
100431,10182864.511809994
100432,7933110.304425289
100433,5701875.642709518
100434,5106267.377741537
100435,10090793.902276006
100436,4319571.956657797
100437,7602554.744915998
100438,5137239.843552578
100439,4655761.649956188
100440,4611915.073705739
100441,3167955.7143185306
100442,5193699.8628285965
100443,5350068.241694848
100444,2374346.8740618005
100445,5035104.008163012
100446,4972431.985634389
100447,5225201.372775466
100448,11485526.072088392
100449,5432176.453892867
100450,5568988.876575036
100451,3588472.1143591236
100452,5621423.891380812
100453,5328857.780613835
100454,4903236.267030862
100455,5067395.824559973
100456,4109157.70319793
100457,6624163.157612929
100458,5698611.981251294
100459,6096200.585220003
100460,7826589.894631975
100461,7845798.202670001
100462,10498108.875936797
100463,6347089.812928605
100464,5247900.653545681
100465,5553373.732500396
100466,7009682.700363804
100467,5349768.137886387
100468,6025345.006417524
100469,6744242.710734602
100470,5046172.227316103
100471,5225201.372775466
100472,5328857.780613835
100473,5962225.5095530115
100474,3265471.409990199
100475,5650678.92456119
100476,4968467.744128735
100477,5335042.972338615
100478,5730620.308085732
100479,5464215.758573477
100480,5073962.61427573
100481,11119190.973286852
100482,4766467.492977086
100483,12881913.792914009
100484,5580788.648064279
100485,10937691.176461203
100486,5558895.540215277
100487,5416061.588608681
100488,11373651.970652001
100489,3922973.3979326426
100490,4016241.8509659944
100491,5408285.493176775
100492,4570973.249635593
100493,5314036.275145617
100494,11276272.37206684
100495,5025958.941769416
100496,5382540.91596813
100497,4728316.524006496
100498,4492296.183947587
100499,3081197.6401987295
100500,10086084.015366802
100501,5091041.460942667
100502,5027345.423995734
100503,5046172.227316103
100504,5006512.5892449515
100505,5376526.5661437465
100506,8927191.701886497
100507,5046172.227316103
100508,3164638.25053266
100509,5247900.653545681
100510,7321712.012391201
100511,4805390.990085334
100512,4437453.380024001
100513,5421748.334022399
100514,7980210.2913463395
100515,5619076.264286745
100516,5717322.902780902
100517,4722177.988434163
100518,5400464.2477798015
100519,4702381.10184331
100520,4416427.576802053
100521,5662131.452656509
100522,4570973.249635593
100523,5314036.275145617
100524,11248515.797025338
100525,4721711.93438
