ID,price_doc
100001,6010271.005398042
100002,8500000.0
100003,18262907.56328017
100004,5180968.998139982
100005,5756271.5834660055
100006,5504416.630517978
100007,10116925.246350009
100008,5647005.579792004
100009,2630000.0
100010,4561975.016554013
100011,7744445.379321937
100012,8065478.438302062
100013,4587991.068291989
100014,4772002.044974462
100015,2000000.0
100016,6316960.62925004
100017,1626506.550176011
100018,4120134.3883759747
100019,7045111.688462012
100020,1003987.3557260053
100021,8675000.0
100022,5165000.0
100023,4663454.006401998
100024,10271116.71777198
100025,14869018.210689027
100026,6078006.651528
100027,5814702.823801977
100028,6278589.704653968
100029,6252523.493560011
100030,9648440.062176013
100031,6200000.0
100032,8721590.217826013
100033,1463165.485695995
100034,5305243.608582035
100035,3378974.165649178
100036,6742981.812349417
100037,8677842.355985027
100038,9500000.0
100039,5787044.901726011
100040,6000000.0
100041,10425000.0
100042,5254184.391128023
100043,9413724.140047945
100044,2087035.0324892085
100045,6131046.49667681
100046,4022324.3254479696
100047,6190982.242812002
100048,6895778.347393996
100049,1000000.0
100050,4205697.569444805
100051,3199759.154151999
100052,5220492.791480393
100053,2889751.8767942013
100054,4895114.296458001
100055,5807641.198158008
100056,9822756.170692792
100057,8148321.585304591
100058,6000000.0
100059,1801540.3183599801
100060,8284778.323403985
100061,2242012.4487791997
100062,5905875.373222221
100063,5983802.851854688
100064,5798460.267000031
100065,1447985.9479200006
100066,7417562.012097406
100067,1772212.2623212016
100068,5718926.718453982
100069,10504429.618561968
100070,7584007.454948396
100071,13235292.68073103
100072,5428026.614658015
100073,6841041.294886031
100074,7503458.586933996
100075,5267172.302446587
100076,4249902.327672046
100077,5359279.696786003
100078,6667812.169351988
100079,4771616.552873999
100080,10107352.357309988
100081,5165000.0
100082,5040308.475604011
100083,6163227.65864998
100084,1592689.0034804004
100085,1000000.0
100086,4011647.8645000407
100087,5365583.080655958
100088,5782348.262712595
100089,10749426.863981996
100090,5750945.345088417
100091,5876180.668156021
100092,7459798.045436049
100093,7121931.411556001
100094,3166413.092878796
100095,8300000.0
100096,4225280.557357991
100097,10851701.030183388
100098,7127469.050383987
100099,7357779.526820013
100100,8048724.75863599
100101,3969867.3557100343
100102,5325852.519550236
100103,5452464.233234044
100104,7863296.238072037
100105,6275485.092982044
100106,7382044.828415996
100107,5500000.0
100108,7811518.137231984
100109,5823961.990347588
100110,6017876.359852007
100111,6636050.146349342
100112,9413928.978632089
100113,11668628.598749986
100114,9627607.660281986
100115,5773526.991489958
100116,10039420.330646807
100117,5578112.80600401
100118,6996897.002098015
100119,6681748.853053971
100120,5754125.785238004
100121,6029761.554953627
100122,2777564.0867379997
100123,3712546.820593206
100124,5312955.445536801
100125,15013796.974500114
100126,6547953.355068004
100127,3648736.3868109453
100128,7681187.625617032
100129,8116854.11123399
100130,5723005.796651999
100131,5359560.07789072
100132,13815696.411812058
100133,6957535.800178193
100134,29390437.97758777
100135,4014445.698112013
100136,4910812.045928
100137,6068079.898794008
100138,6904322.527903995
100139,3985342.3850740064
100140,6626469.246935991
100141,4153792.725493989
100142,4920004.186700929
100143,6028761.331496026
100144,24226316.718105208
100145,15995968.789160002
100146,8904875.132372031
100147,26044406.194443338
100148,1000000.0
100149,17026350.28994397
100150,10528856.06560406
100151,2260000.0
100152,5573028.750724026
100153,6376606.62954701
100154,11073915.306752468
100155,2000000.0
100156,7822647.367175999
100157,4600000.0
100158,4193598.7537299823
100159,4805566.284748
100160,5703272.326040598
100161,7714190.244750038
100162,3983669.284631994
100163,5915347.865143981
100164,11625000.0
100165,2922595.860345007
100166,7139320.567388002
100167,7615941.162373988
100168,2850340.509378001
100169,5422799.577557426
100170,5276759.766910016
100171,8570653.585945988
100172,4846912.072415999
100173,4638703.796291992
100174,9300000.0
100175,8259096.26562394
100176,5393770.521966815
100177,5878842.025593987
100178,6522551.2043579975
100179,6343650.193224034
100180,7300000.0
100181,9400000.0
100182,8622067.106044048
100183,7100000.0
100184,6504945.487384014
100185,6000000.0
100186,5244863.420314995
100187,5981598.893627971
100188,10810500.899975928
100189,6264991.214578021
100190,13027018.602617813
100191,4864275.5801807325
100192,5574812.821611405
100193,1377723.3741999893
100194,14207417.275966296
100195,12113415.210000033
100196,9430722.060120007
100197,1741815.299882798
100198,3202176.376671992
100199,1000000.0
100200,6918480.0240766555
100201,7502905.397581989
100202,6943470.234077978
100203,14711635.136906078
100204,4962458.739253975
100205,5490431.837205083
100206,5589486.28084402
100207,7608025.005048018
100208,900000.0
100209,7065926.543178647
100210,6652436.479674539
100211,3310361.739583998
100212,10149021.449771998
100213,8100000.0
100214,6008892.631476806
100215,10761223.922853993
100216,7755148.15809593
100217,6604247.363520483
100218,9030941.438616008
100219,8917399.030552013
100220,7949845.243975802
100221,3373741.1767973825
100222,6229025.680211005
100223,6119592.098806016
100224,6462758.609836003
100225,12089065.06585396
100226,15575504.222080134
100227,7743936.795972359
100228,7763290.002842058
100229,5297916.213454022
100230,4756511.391442005
100231,15055635.465178229
100232,6801824.185059969
100233,8794500.0
100234,5949961.056269964
100235,9490501.689689573
100236,5224435.626010388
100237,6988764.481469967
100238,4567059.816233579
100239,7032020.363734001
100240,6834482.407522006
100241,12907100.0
100242,5899357.1138233235
100243,2701159.800217982
100244,16278081.294793742
100245,8211782.709662023
100246,8149373.373599401
100247,1830632.939468
100248,11098643.976363968
100249,11556324.378237039
100250,6077797.082387991
100251,3881962.5
100252,9986913.978564816
100253,6500000.0
100254,5101922.6069579935
100255,6442378.05422975
100256,3479160.660402001
100257,8363122.545551999
100258,7517692.94846708
100259,5735505.682966002
100260,7725632.592845975
100261,8060672.764320999
100262,5959127.691441972
100263,4315089.894532022
100264,12500000.0
100265,6198884.377381969
100266,5581230.692002993
100267,6202733.013678614
100268,7062118.221518025
100269,6517771.851138803
100270,8031912.032919966
100271,8112581.862774004
100272,3457853.3728720136
100273,7600000.0
100274,4804215.937288004
100275,6200000.0
100276,6650795.182630004
100277,4908543.908019807
100278,5294132.557646001
100279,9047458.711820621
100280,10246294.0
100281,5805933.825483979
100282,6713964.753668808
100283,6950423.223707984
100284,5656651.326550033
100285,8222790.230886033
100286,10300810.180409972
100287,3674816.506900014
100288,6866614.0159253515
100289,11398415.553771961
100290,6838591.356384038
100291,4915717.061744601
100292,10574540.70168001
100293,5144477.936955991
100294,5903621.097378002
100295,5078595.955499974
100296,11538173.73223656
100297,6600798.9702180475
100298,8324774.752861676
100299,6700000.0
100300,2758638.4905743995
100301,9745121.71237403
100302,6224854.98307301
100303,6024859.389469952
100304,11500000.0
100305,6447256.575402024
100306,6470603.117155984
100307,13456762.876000114
100308,5585587.96481203
100309,8834657.957180984
100310,8311570.153500055
100311,6350000.0
100312,6185414.134872013
100313,5666983.5430560075
100314,8579027.519969974
100315,4500000.0
100316,8075943.50856001
100317,5255351.746881991
100318,6135470.877172003
100319,6491482.537585998
100320,5278087.6424359735
100321,9873995.421988022
100322,12300000.0
100323,9327972.30178006
100324,7236743.501792016
100325,6516592.491194001
